ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,extra_regressors_multiplicative,Volume_lag1_effect,EMA_lag1_effect,y,Volume,EMA,Volume_lag1,EMA_lag1,y_change,direction
2019-10-22,395.0478093889648,374.61838317224505,415.68674368176266,102.90783606201998,3.0383259246262035,-0.021400771749941233,-0.17807454143322904,0.000247706181575414,-0.17832224761480445,388.0,136694,386.1123240917305,150187.0,386.093352474562,0.75,1
2019-10-23,390.7084771197567,368.8986052276538,411.09471647411505,117.34037295429992,2.387690682091356,-0.044885437466800904,-0.013103222355336484,0.0011495477549323884,-0.014252770110268872,387.75,117561,386.1286193743999,136694.0,386.1123240917305,-0.25,0
2019-10-24,396.37453125993767,374.7898335528185,419.19395260747086,91.00028293571559,3.6100311000020078,-0.011505186173993178,-0.2427753768769974,0.0017086478904196887,-0.2444840247674171,386.75,130664,386.1348022661969,117561.0,386.1286193743999,-1.0,0
2019-10-28,394.5225780600355,374.0725451265947,416.00200009991545,95.3688079930746,3.256534799543086,-0.03190312211873117,-0.08782231215804472,0.002274811770915695,-0.09009712392896042,384.0,122790,386.1196209139295,131677.0,386.14092363668254,-2.75,0
2019-10-29,394.2474498830837,373.3478887930903,414.4416338668053,105.80570274871526,2.823328223912911,-0.035092077728733,-0.06209058275072877,0.0031847958412989912,-0.06527537859202776,386.25,153732,386.1209182182685,122790.0,386.1196209139295,2.25,1
2019-10-30,394.04448231541295,373.5705660914055,414.39140471746964,88.86082942485059,3.57327663856906,-0.04261088131703665,-0.09626552864898737,0.000557542267521812,-0.09682307091650919,390.75,177034,386.1669787335096,153732.0,386.1209182182685,4.5,1
2019-10-31,392.5602389360132,370.5369213920622,412.962869826573,97.87657315773889,3.1128795200004555,-0.0455866682224185,-0.05652473565939102,-0.0016697407211120252,-0.05485499493827899,390.0,176193,386.2051182485991,177034.0,386.1669787335096,-0.75,0
2019-11-01,392.631724805498,372.49831356138554,409.9582188305883,91.14550698478634,3.40821849411851,-0.05331650259312586,-0.047155644017167146,-0.0016679161954405808,-0.04548772782172657,389.25,151943,386.2354155794588,176193.0,386.2051182485991,-0.75,0
2019-11-04,391.2990853737837,370.33828239044027,409.66734614724487,88.10047537542877,3.5266248071775856,-0.07119385656539962,-0.013921597724890766,0.0008853423939430366,-0.014806940118833803,383.25,145373,386.2057099518025,151943.0,386.2354155794588,-6.0,0
2019-11-05,392.6679333338956,371.4074706107736,413.0845959883904,95.3922016069818,3.1829543650926193,-0.061545769088259164,-0.005056035533043042,0.001695629630117017,-0.00675166516316006,381.75,157127,386.1613745293965,145373.0,386.2057099518025,-1.5,0
2019-11-06,391.24936823852147,372.08903133007493,409.21031117222736,91.23963796112983,3.3848199067900615,-0.07962664854031723,-0.01704200095077725,0.0003123694638957835,-0.017354370414673036,378.75,185339,386.0876295092035,157127.0,386.1613745293965,-3.0,0
2019-11-07,389.24284259326237,369.3753159451369,409.26865638225445,85.18348908234161,3.6311629000024914,-0.09981185552220045,0.03811243707545321,-0.003643092085926699,0.041755529161379916,375.25,219147,385.9797923996592,185339.0,386.0876295092035,-3.5,0
2019-11-08,389.46281967730897,371.5808742484005,408.64044571775696,67.30002086621126,4.958170994867801,-0.13107039556463032,-0.04013627649055785,-0.009078795884104433,-0.031057480606453417,377.25,343769,385.8929287936924,219147.0,385.9797923996592,2.0,1
2019-11-11,387.6165959744151,367.3276956645505,407.7548224982191,89.53338519431212,3.46423953594649,-0.10326709075411913,-0.03167566798261532,-0.021529515587394018,-0.010146152395221302,373.25,211215,385.767128507188,343769.0,385.8929287936924,-4.0,0
2019-11-12,388.06904542669014,368.40886119473925,406.91284787062574,97.91756573749443,3.0136279470456713,-0.10332063989884457,0.05291463882207069,-0.005667429518466546,0.05858206834053724,377.75,220513,385.6873560842309,211215.0,385.767128507188,4.5,1
2019-11-13,387.1967630096733,369.33343321431465,406.1875255334364,96.48977216859174,3.035980764890472,-0.1103150459830755,0.08716128137967821,-0.006273083667713131,0.09343436504739135,375.25,195982,385.5835017948356,220513.0,385.6873560842309,-2.5,0
2019-11-14,388.0516829453435,369.50107417347493,406.0994470013867,84.40821705132375,3.6184559999942683,-0.1183808227368021,0.09724599005722429,-0.004053339227533429,0.10129932928475771,375.75,144893,385.4856560058323,195982.0,385.5835017948356,0.5,1
2019-11-15,388.57483146187843,370.34856968430466,407.3379756888726,72.8182383504084,4.363803876369664,-0.13983894275535502,0.11226456416643678,0.0018330908287604302,0.11043147333767635,371.25,140175,385.3440076873664,144893.0,385.4856560058323,-4.5,0
2019-11-18,388.0806443630737,369.4905715093613,407.1573353940507,102.02601791007008,2.7608402256681446,-0.10463719707377597,0.14753892186716852,0.0018283437471351368,0.14571057812003338,367.75,206268,385.1689429342582,140175.0,385.3440076873664,-3.5,0
2019-11-19,387.6473817502115,369.393489589459,405.834231597626,93.82565226328664,3.0838524822943225,-0.11684403283656015,0.16456295345051553,-0.004185530613887729,0.16874848406440324,370.0,202015,385.01800817869344,206268.0,385.1689429342582,2.25,1
2019-11-20,387.63410684824885,371.3686411418059,405.6331682001796,93.90360409137541,3.058285468296234,-0.11429516127018367,0.18401000349505695,-0.003512249019186302,0.18752225251424326,366.75,297024,384.8362369530348,202015.0,385.01800817869344,-3.25,0
2019-11-21,387.13863000161786,369.4925489431265,404.7796240248747,98.98920035119573,2.8255703700023074,-0.10466597705124164,0.19001345089573965,-0.008194130888316064,0.1982075817840557,368.5,158701,384.6736873316116,297024.0,384.8362369530348,1.75,1
2019-11-22,388.5975384834718,370.7723008141205,406.56361902665867,94.97034752610847,2.99103791276948,-0.10472538898364203,0.2054650531746108,0.00010721557148570974,0.2053578376031251,368.75,228112,384.51524268154577,158701.0,384.6736873316116,0.25,1
2019-11-25,390.00673246150103,372.3007988974554,408.0281319112853,85.99516563091444,3.37744854495694,-0.09605510358600762,0.253823504839557,-0.004103410094273723,0.25792691493383074,370.5,199301,384.3757875304856,228112.0,384.51524268154577,1.75,1
2019-11-26,391.35600642633773,373.5245333835351,408.25955427078804,88.52534721342664,3.255716918175411,-0.08324960323436298,0.24836828463941685,-0.002070504169389058,0.2504387888088059,367.5,207678,384.2078692466002,199301.0,384.3757875304856,-3.0,0
2019-11-27,391.8356767321338,375.8737760165601,407.7791286575634,97.04735378933437,2.867564914812778,-0.0699256855720408,0.23993275425415972,-0.002142922800974953,0.2420756770551347,362.75,163967,383.9943581098181,207678.0,384.2078692466002,-4.75,0
2019-11-29,394.1244876074418,376.1734404878442,410.63947652987105,87.64848425255227,3.2835645897083667,-0.05306102486073147,0.26614564669837093,-0.00015772079488221756,0.2663033674932531,381.25,139171,383.96705106394927,163967.0,383.9943581098181,18.5,1
2019-12-02,395.1796612903752,378.35093593259285,411.0040617079182,75.4162608950863,3.9556167597532843,-0.04831474849673747,0.33267749183922196,0.0009528965265068976,0.3317245953127151,382.0,155304,383.9474784165468,139171.0,383.96705106394927,0.75,1
2019-12-03,396.6187506497495,379.9719689801451,414.5702286748945,86.40620520491767,3.3295335174465017,-0.02992651527001172,0.29055813363920235,0.00012475237818313777,0.2904333812610192,381.25,132389,383.9206378352876,155304.0,383.9474784165468,-0.75,0
2019-12-04,396.5755122218295,379.9372034416599,414.26392699259424,97.81266713125939,2.8142979336559546,-0.024090487195652592,0.2642317571005846,0.00024973191915405755,0.26398202518143055,378.5,132483,383.86670114040913,132389.0,383.9206378352876,-2.75,0
2019-12-05,397.03085718507845,379.7465084414728,413.718517796539,84.34880074501318,3.3955206299936744,-0.019847297733691927,0.3313391406891546,0.00020041572534361133,0.33113872496381097,376.75,103730,383.7958881937384,132483.0,383.86670114040913,-1.75,0
2019-12-09,397.22625530332306,380.1472737600964,414.2346153503784,70.63455466448394,4.229982091218545,-0.031105037331444468,0.4248046864474787,0.0007869016825945685,0.42401778476488416,375.75,87766,383.646418859935,101238.0,383.7257798535022,-1.0,0
2019-12-10,397.53538665965715,379.8702972529923,414.58465139491824,86.60744996898275,3.293340082335286,-0.021448395799251237,0.31819134675993316,0.00015561481644412635,0.31803573194348905,377.0,98921,383.5802853389407,87766.0,383.646418859935,1.25,1
